Object,Date,Distance,Width,SigmaImpact,SigmaLOV,StretchLOV,ImpactProbability,ImpactEnergy,PalermoScale,TorinoScale
A101955,2175-09-25.16,0.45,&lt;1.e-04,0.000,1.051,1.18e+05,6.4e-06,1.15e+03,-3.43,(*)
A101955,2176-09-24.39,0.17,&lt;1.e-04,0.000,2.458,2.56e+04,3.1e-06,1.15e+03,-3.75,(*)
A101955,2180-09-24.36,0.19,&lt;1.e-04,0.000,0.894,9.67e+04,1.1e-05,1.15e+03,-3.19,(*)
A101955,2180-09-24.39,0.12,&lt;1.e-04,0.000,0.529,8.33e+04,2.0e-05,1.15e+03,-2.96,(*)
A101955,2181-09-24.51,0.01,&lt;1.e-04,0.000,2.213,1.55e+06,9.4e-08,1.15e+03,-5.28,(*)
A101955,2181-09-24.54,0.17,&lt;1.e-04,0.000,1.361,4.61e+05,1.4e-06,1.15e+03,-4.12,(*)
A101955,2181-09-24.55,0.22,&lt;1.e-04,0.000,1.882,4.15e+05,6.3e-07,1.15e+03,-4.46,(*)
A101955,2181-09-24.58,0.57,&lt;1.e-04,0.000,3.408,3.93e+05,9.1e-09,1.15e+03,-6.30,(*)
A101955,2181-09-24.78,0.01,&lt;1.e-04,0.000,1.021,3.52e+05,2.9e-06,1.15e+03,-3.80,(*)
A101955,2182-09-24.85,0.28,&lt;1.e-04,0.000,-2.291,3.03e+04,3.5e-06,1.15e+03,-3.71,(*)
A101955,2182-09-24.85,0.20,&lt;1.e-04,0.000,-4.053,3.87e+04,1.1e-08,1.15e+03,-6.23,(*)
A101955,2182-09-24.86,0.07,&lt;1.e-04,0.000,-2.753,2.61e+04,1.4e-06,1.15e+03,-4.11,(*)
A101955,2184-09-24.27,0.43,&lt;1.e-04,0.000,4.750,6.90e+04,2.4e-10,1.15e+03,-7.87,(*)
A101955,2184-09-24.36,0.02,&lt;1.e-04,0.000,4.585,7.07e+03,6.5e-09,1.15e+03,-6.45,(*)
A101955,2185-09-24.50,0.08,&lt;1.e-04,0.000,3.576,9.65e+05,2.8e-09,1.15e+03,-6.81,(*)
A101955,2185-09-24.51,0.23,&lt;1.e-04,0.000,3.561,1.94e+05,1.4e-08,1.15e+03,-6.12,(*)
A101955,2185-09-24.52,0.36,&lt;1.e-04,0.000,3.556,3.97e+05,6.4e-09,1.15e+03,-6.46,(*)
A101955,2185-09-24.59,0.04,&lt;1.e-04,0.000,0.182,2.55e+04,6.3e-05,1.15e+03,-2.46,(*)
A101955,2185-09-24.59,0.07,&lt;1.e-04,0.000,-0.111,8.34e+04,2.0e-05,1.15e+03,-2.97,(*)
A101955,2186-09-24.74,0.00,&lt;1.e-04,0.000,0.692,1.42e+06,9.4e-07,1.15e+03,-4.30,(*)
A101955,2186-09-24.97,0.54,&lt;1.e-04,0.000,-0.187,8.05e+05,1.5e-06,1.15e+03,-4.10,(*)
A101955,2186-09-25.00,0.29,&lt;1.e-04,0.000,1.327,7.51e+05,8.1e-07,1.15e+03,-4.36,(*)
A101955,2187-09-24.94,0.13,&lt;1.e-04,0.000,-2.744,7.52e+05,4.9e-08,1.15e+03,-5.58,(*)
A101955,2187-09-24.96,0.03,&lt;1.e-04,0.000,-2.284,1.04e+06,1.2e-07,1.15e+03,-5.19,(*)
A101955,2187-09-24.97,0.26,&lt;1.e-04,0.000,-4.060,1.15e+06,3.4e-10,1.15e+03,-7.73,(*)
A101955,2187-09-25.06,0.00,&lt;1.e-04,0.000,-2.223,2.73e+05,5.3e-07,1.15e+03,-4.55,(*)
A101955,2187-09-25.07,0.11,&lt;1.e-04,0.000,-4.433,4.34e+05,2.0e-10,1.15e+03,-7.97,(*)
A101955,2187-09-25.14,0.86,&lt;1.e-04,0.000,1.689,1.98e+04,8.3e-06,1.15e+03,-3.35,(*)
A101955,2187-09-25.21,0.45,&lt;1.e-04,0.000,2.199,4.84e+05,2.4e-07,1.15e+03,-4.88,(*)
A101955,2188-09-24.24,0.98,&lt;1.e-04,0.000,3.283,6.46e+04,1.6e-08,1.15e+03,-6.07,(*)
A101955,2188-09-24.35,0.90,&lt;1.e-04,0.000,2.781,1.58e+04,8.0e-07,1.15e+03,-4.37,(*)
A101955,2189-09-25.18,0.29,&lt;1.e-04,0.000,3.504,2.90e+06,1.1e-09,1.15e+03,-7.24,(*)
A101955,2190-09-24.79,0.08,&lt;1.e-04,0.000,3.737,3.19e+04,4.9e-08,1.15e+03,-5.59,(*)
A101955,2190-09-24.81,0.01,&lt;1.e-04,0.000,0.311,1.62e+06,1.2e-06,1.15e+03,-4.18,(*)
A101955,2190-09-24.81,0.20,&lt;1.e-04,0.000,0.957,1.45e+06,6.7e-07,1.15e+03,-4.45,(*)
A101955,2190-09-24.83,0.73,&lt;1.e-04,0.000,4.393,1.23e+04,5.0e-09,1.15e+03,-6.58,(*)
A101955,2190-09-25.46,0.27,&lt;1.e-04,0.000,-1.393,1.61e+06,3.5e-07,1.15e+03,-4.73,(*)
A101955,2191-09-25.13,0.03,&lt;1.e-04,0.000,-0.164,3.05e+05,5.4e-06,1.15e+03,-3.54,(*)
A101955,2191-09-25.18,0.66,&lt;1.e-04,0.000,-0.146,7.37e+05,1.4e-06,1.15e+03,-4.13,(*)
A101955,2191-09-25.32,0.17,&lt;1.e-04,0.000,-0.172,1.20e+06,1.3e-06,1.15e+03,-4.17,(*)
A101955,2191-09-25.38,0.03,&lt;1.e-04,0.000,0.535,1.39e+06,1.0e-06,1.15e+03,-4.26,(*)
A101955,2191-09-25.55,0.73,&lt;1.e-04,0.000,0.899,1.14e+06,5.6e-07,1.15e+03,-4.53,(*)
A101955,2192-09-24.17,0.17,&lt;1.e-04,0.000,-2.547,5.32e+04,5.8e-07,1.15e+03,-4.52,(*)
A101955,2192-09-24.17,0.21,&lt;1.e-04,0.000,-4.443,7.68e+05,1.0e-10,1.15e+03,-8.26,(*)
A101955,2192-09-24.19,0.08,&lt;1.e-04,0.000,-0.213,3.74e+05,8.4e-07,1.15e+03,-4.36,(*)
A101955,2192-09-24.41,0.01,&lt;1.e-04,0.000,-2.209,4.44e+05,3.3e-07,1.15e+03,-4.76,(*)
A101955,2193-09-24.44,0.01,&lt;1.e-04,0.000,3.470,1.93e+06,2.1e-09,1.15e+03,-6.96,(*)
A101955,2193-09-24.51,0.10,&lt;1.e-04,0.000,3.393,3.96e+05,1.3e-08,1.15e+03,-6.17,(*)
A101955,2193-09-24.60,0.01,&lt;1.e-04,0.000,-1.938,9.47e+03,2.8e-05,1.15e+03,-2.84,(*)
A101955,2193-09-24.63,0.66,&lt;1.e-04,0.000,-2.519,7.38e+05,6.0e-08,1.15e+03,-5.50,(*)
A101955,2193-09-24.74,0.02,&lt;1.e-04,0.000,1.674,4.86e+05,8.5e-07,1.15e+03,-4.35,(*)
A101955,2193-09-24.81,0.02,&lt;1.e-04,0.000,3.468,1.86e+06,2.2e-09,1.15e+03,-6.94,(*)
A101955,2193-09-25.67,0.12,&lt;1.e-04,0.000,2.585,2.72e+06,2.1e-08,1.15e+03,-5.96,(*)
A101955,2194-09-24.72,0.35,&lt;1.e-04,0.000,-2.141,9.19e+05,1.6e-07,1.15e+03,-5.09,(*)
A101955,2194-09-24.75,0.01,&lt;1.e-04,0.000,3.204,1.45e+04,6.9e-07,1.15e+03,-4.45,(*)
A101955,2194-09-24.79,0.18,&lt;1.e-04,0.000,2.832,3.35e+04,8.5e-07,1.15e+03,-4.36,(*)
A101955,2194-09-24.80,0.57,&lt;1.e-04,0.000,2.916,9.55e+03,1.8e-06,1.15e+03,-4.04,(*)
A101955,2195-09-25.27,0.29,&lt;1.e-04,0.000,0.960,2.23e+06,4.2e-07,1.15e+03,-4.67,(*)
A101955,2196-09-23.48,0.15,&lt;1.e-04,0.000,3.503,2.89e+06,1.2e-09,1.15e+03,-7.22,(*)
A101955,2196-09-24.21,0.05,&lt;1.e-04,0.000,3.772,2.97e+04,4.5e-08,1.15e+03,-5.63,(*)
A101955,2196-09-24.27,0.64,&lt;1.e-04,0.000,3.822,1.20e+04,6.1e-08,1.15e+03,-5.50,(*)
A101955,2196-09-24.31,0.00,&lt;1.e-04,0.000,-0.092,4.74e+04,3.5e-05,1.15e+03,-2.74,(*)
A101955,2196-09-24.33,0.15,&lt;1.e-04,0.000,-0.065,1.68e+04,9.4e-05,1.15e+03,-2.32,(*)
A101955,2197-09-24.58,0.91,&lt;1.e-04,0.000,3.599,4.62e+05,1.8e-09,1.15e+03,-7.03,(*)
A101955,2197-09-24.80,0.01,&lt;1.e-04,0.000,-2.883,8.62e+05,3.1e-08,1.15e+03,-5.81,(*)
A101955,2198-09-24.38,0.02,&lt;1.e-04,0.000,3.498,1.78e+06,2.1e-09,1.15e+03,-6.98,(*)
A101955,2198-09-24.55,0.00,&lt;1.e-04,0.000,3.472,4.85e+05,5.0e-09,1.15e+03,-6.60,(*)
A101955,2198-09-24.74,0.07,&lt;1.e-04,0.000,-0.193,2.08e+06,7.8e-07,1.15e+03,-4.41,(*)
A101955,2198-09-24.85,0.81,&lt;1.e-04,0.000,-4.254,2.81e+05,3.3e-10,1.15e+03,-7.77,(*)
A101955,2198-09-24.88,0.00,&lt;1.e-04,0.000,-1.924,8.95e+05,3.0e-07,1.15e+03,-4.82,(*)
A101955,2198-09-24.89,0.25,&lt;1.e-04,0.000,3.498,2.54e+06,1.3e-09,1.15e+03,-7.18,(*)
A101955,2198-09-24.91,0.40,&lt;1.e-04,0.000,-1.450,3.12e+05,1.5e-06,1.15e+03,-4.11,(*)
A101955,2198-09-24.93,0.88,&lt;1.e-04,0.000,1.701,1.01e+06,1.5e-07,1.15e+03,-5.13,(*)
A101955,2199-09-24.92,0.78,&lt;1.e-04,0.000,-0.920,6.49e+05,8.7e-07,1.15e+03,-4.36,(*)
A101955,2199-09-24.98,0.09,&lt;1.e-04,0.000,-1.952,9.53e+05,2.6e-07,1.15e+03,-4.89,(*)
A101955,2199-09-25.11,0.26,&lt;1.e-04,0.000,3.532,1.39e+06,2.1e-09,1.15e+03,-6.97,(*)
A101955,2199-09-25.11,0.24,&lt;1.e-04,0.000,-1.813,8.34e+05,3.5e-07,1.15e+03,-4.75,(*)
A29075,2880-03-16.99,0.04,&lt;1.e-04,0.000,-2.040,6.22e+02,5.0e-05,7.54e+04,-1.81,(*)
2007VE191,2015-11-27.11,0.43,3.61e-04,0.000,2.57147,1.64e+03,1.6e-05,1.65e+01,-2.47,0
2007VE191,2026-11-26.73,0.13,5.56e-03,0.000,2.54861,1.88e+06,1.6e-08,1.66e+01,-6.40,0
2001VB,2023-07-23.30,2.17,4.67e-01,2.501,0.89065,2.97e+05,4.0e-09,8.60e+04,-3.88,0
2001VB,2037-07-22.26,0.60,3.56e-01,0.000,-1.07149,2.71e+07,1.6e-08,9.34e+04,-3.66,0
2001VB,2037-07-22.26,0.55,3.50e-01,0.000,-1.07075,3.72e+06,1.2e-07,9.34e+04,-2.77,0
2001QJ96,2044-08-31.70,1.00,6.67e-03,0.000,-3.84892,2.52e+04,9.9e-10,2.50e+02,-7.04,0
2001QJ96,2047-09-01.48,0.94,6.80e-03,0.000,-2.40719,4.72e+05,3.1e-08,2.45e+02,-5.59,0
2001QJ96,2047-09-01.49,0.45,6.28e-03,0.000,-2.21657,6.30e+04,9.7e-07,2.44e+02,-4.10,0
2001QJ96,2047-09-01.50,0.80,3.93e-03,0.000,-1.81406,8.46e+05,1.1e-07,2.43e+02,-5.05,0
2001QJ96,2050-09-01.27,0.84,6.80e-03,0.000,-1.01616,6.33e+05,4.1e-07,2.40e+02,-4.52,0
2001QJ96,2052-08-31.92,0.76,6.09e-03,0.000,4.06743,3.21e+04,4.2e-09,2.23e+02,-6.56,0
2001QJ96,2053-09-01.10,0.23,6.33e-03,0.000,0.51166,2.48e+04,2.7e-05,2.35e+02,-2.74,0
2001QJ96,2053-09-01.11,0.16,5.56e-03,0.000,0.39507,1.16e+06,6.3e-07,2.35e+02,-4.38,0
1979XB,2056-12-12.90,0.19,8.62e-02,0.000,-1.12242,2.58e+06,1.6e-07,4.27e+04,-3.19,0
1979XB,2086-12-16.66,0.76,1.13e-01,0.000,0.42483,3.42e+06,1.3e-07,2.62e+04,-3.68,0
1979XB,2102-12-16.02,1.01,4.69e-02,0.206,0.59589,2.02e+06,3.3e-08,2.55e+04,-4.38,0
1979XB,2113-12-14.75,0.21,2.34e-02,0.000,-0.02614,1.22e+06,6.4e-07,3.07e+04,-3.08,0
A99942,2060-04-12.55,0.64,&lt;1.e-04,0.000,0.872,6.60e+06,1.0e-07,1.15e+03,-4.68,0
A99942,2065-04-11.77,0.17,&lt;1.e-04,0.000,0.923,4.15e+06,2.6e-07,1.15e+03,-4.32,0
A99942,2068-04-12.64,0.02,&lt;1.e-04,0.000,1.007,1.31e+05,6.7e-06,1.15e+03,-2.93,0
A99942,2068-10-15.40,0.51,&lt;1.e-04,0.000,4.773,1.88e+06,7.9e-12,1.15e+03,-8.86,0
