Object,Date,Distance,Width,SigmaImpact,SigmaLOV,StretchLOV,ImpactProbability,ImpactEnergy,PalermoScale,TorinoScale
2011EB74,2040-03-16.26,1.46,9.10e-01,0.503,1.81517,2.66e+05,1.3e-07,1.21e-01,-7.50,0
2011EB74,2043-03-16.63,0.66,8.85e-02,0.000,-4.52691,2.22e+04,9.5e-10,3.92e-02,-10.10,0
2011EB74,2044-03-15.86,0.32,3.34e-01,0.000,-4.62112,2.61e+04,6.1e-10,3.88e-02,-10.30,0
2011EB74,2044-03-16.09,1.09,1.25e-01,0.690,0.15551,2.17e+06,3.0e-08,8.65e-02,-8.32,0
2011EB74,2044-03-16.32,0.04,6.16e-02,0.000,2.85578,5.03e+05,2.7e-08,1.53e-01,-8.17,0
2011EB74,2045-03-16.08,0.54,5.62e-01,0.000,-4.71400,2.96e+04,2.6e-10,3.82e-02,-10.70,0
2011EB74,2046-03-16.49,0.15,9.19e-02,0.000,-2.04988,3.43e+04,2.8e-06,5.81e-02,-6.52,0
2011EB74,2048-03-16.25,0.93,9.02e-01,0.000,2.20426,1.07e+05,2.7e-07,1.32e-01,-7.28,0
2011EB74,2048-03-16.29,4.87,1.67e+00,2.319,3.73194,5.38e+04,1.0e-10,1.88e-01,-10.60,0
2011EB74,2049-03-16.16,0.68,3.70e-01,0.000,-2.71672,6.17e+05,2.0e-08,5.20e-02,-8.75,0
2011EB74,2050-03-16.43,1.09,3.53e-01,0.250,-2.22372,1.49e+06,1.1e-08,5.65e-02,-9.00,0
2011EB74,2050-03-16.52,1.38,1.84e-01,2.090,-0.83878,1.46e+06,2.3e-09,7.19e-02,-9.59,0
2011EB74,2050-03-16.73,0.28,2.46e-01,0.000,1.62182,6.14e+04,3.2e-06,1.16e-01,-6.27,0
2011EB74,2051-03-16.77,2.21,4.12e-01,2.938,-0.41378,8.54e+04,5.9e-09,7.76e-02,-9.16,0
2011EB74,2051-03-16.85,1.98,4.18e-01,2.356,0.75384,2.23e+06,1.1e-09,9.72e-02,-9.80,0
2011EB74,2052-03-15.95,0.67,4.86e-01,0.000,-2.76044,6.09e+04,1.7e-07,5.17e-02,-7.85,0
2011EB74,2052-03-16.28,0.70,1.14e+00,0.000,3.11991,7.68e+05,3.4e-09,1.63e-01,-9.15,0
2011EB74,2052-03-16.30,0.30,4.86e-01,0.000,2.95011,4.93e+04,1.7e-07,1.56e-01,-7.48,0
2011EB74,2053-03-16.18,0.65,2.04e-01,0.000,-2.74164,4.75e+05,2.7e-08,5.19e-02,-8.66,0
2011EB74,2053-03-16.55,1.54,4.98e-01,1.093,2.83513,9.76e+04,1.2e-08,1.52e-01,-8.65,0
2011EB74,2054-03-16.49,1.72,2.33e-01,3.087,-0.88972,3.04e+04,5.6e-09,7.11e-02,-9.25,0
2011EB74,2054-03-16.50,0.76,3.84e-03,0.000,-0.99866,4.83e+04,6.6e-06,6.97e-02,-6.18,0
2011EB74,2054-03-16.51,0.56,1.87e-01,0.000,-0.93945,1.19e+04,3.4e-05,7.05e-02,-5.47,0
2011EB74,2054-03-16.81,2.77,6.87e-01,2.574,2.51450,1.42e+05,6.5e-10,1.41e-01,-9.95,0
2011EB74,2055-03-16.70,0.70,3.14e-02,0.000,-1.39786,2.73e+06,7.8e-08,6.50e-02,-8.14,0
2011EB74,2055-03-16.76,0.57,2.45e-02,0.000,-1.08116,1.22e+04,3.0e-05,6.88e-02,-5.54,0
2011EB74,2055-03-16.88,0.47,4.28e-01,0.000,0.55960,2.16e+06,2.3e-07,9.36e-02,-7.54,0
2011EB74,2055-03-16.93,0.97,1.07e+00,0.000,2.25758,3.58e+06,6.6e-09,1.33e-01,-8.97,0
2011EB74,2055-03-16.96,2.12,4.41e-01,2.535,2.26844,5.83e+04,2.6e-09,1.34e-01,-9.36,0
2011EB74,2057-03-16.21,1.63,3.10e-01,2.048,-1.28848,2.59e+04,1.1e-07,6.62e-02,-8.00,0
2011EB74,2057-03-16.24,0.34,6.87e-02,0.000,-1.31913,1.53e+04,2.1e-05,6.58e-02,-5.74,0
2011EB74,2057-03-16.25,0.76,1.05e-01,0.000,-1.37196,5.42e+04,3.6e-06,6.53e-02,-6.50,0
2011EB74,2057-03-16.42,0.23,1.09e-02,0.000,0.54398,2.78e+05,2.4e-06,9.33e-02,-6.55,0
2011EB74,2057-03-16.44,0.13,1.44e-01,0.000,0.72753,2.80e+05,2.1e-06,9.67e-02,-6.59,0
2011EB74,2057-03-16.54,2.76,1.19e+00,1.477,2.20113,5.55e+05,6.3e-09,1.32e-01,-9.01,0
2011EB74,2058-03-16.41,1.02,1.07e+00,0.019,-3.41630,2.23e+03,3.8e-07,4.66e-02,-7.60,0
2011EB74,2058-03-16.48,1.25,1.89e-01,1.311,-1.55686,4.46e+04,1.9e-07,6.33e-02,-7.81,0
2011EB74,2058-03-16.48,1.13,1.43e-01,0.904,-1.46293,1.09e+04,1.6e-06,6.43e-02,-6.87,0
2011EB74,2058-03-16.49,1.30,2.95e-01,1.026,-0.85420,4.04e+06,9.9e-09,7.16e-02,-9.04,0
2011EB74,2058-03-16.66,3.41,8.73e-01,2.760,1.44510,6.27e+05,7.5e-10,1.12e-01,-10.00,0
2011EB74,2058-03-16.74,0.64,3.81e-02,0.000,1.86074,3.80e+04,2.9e-06,1.22e-01,-6.39,0
2011EB74,2059-03-16.50,0.18,7.99e-01,0.000,-3.40807,4.79e+05,3.2e-09,4.66e-02,-9.68,0
2011EB74,2059-03-16.68,0.90,3.82e-01,0.000,-1.90989,6.93e+05,7.5e-08,5.95e-02,-8.23,0
2011EB74,2059-03-16.70,1.81,3.80e-01,2.135,-1.41163,7.74e+05,2.8e-09,6.48e-02,-9.64,0
2011EB74,2059-03-16.94,2.81,5.12e-01,3.536,1.78642,3.03e+04,4.7e-10,1.20e-01,-10.20,0
2011EB74,2060-03-15.95,2.00,5.23e-01,1.905,-1.40816,1.89e+06,2.3e-09,6.49e-02,-9.72,0
2011EB74,2060-03-16.27,1.80,4.32e-01,1.842,2.95738,1.42e+05,1.1e-09,1.56e-01,-9.73,0
2011EB74,2060-03-16.31,1.19,7.02e-01,0.266,3.11191,2.09e+05,8.8e-09,1.62e-01,-8.83,0
2011EB74,2061-03-16.08,0.29,5.00e-01,0.000,-3.51711,2.88e+05,4.5e-09,4.58e-02,-9.56,0
2011EB74,2061-03-16.17,0.87,2.90e-01,0.000,-1.25272,4.16e+06,3.8e-08,6.67e-02,-8.51,0
2011EB74,2061-03-16.20,0.45,9.93e-02,0.000,-1.81105,1.69e+04,8.1e-06,6.05e-02,-6.21,0
2011EB74,2061-03-16.39,0.47,2.76e-01,0.000,1.28715,4.02e+06,7.1e-08,1.08e-01,-8.07,0
2011EB74,2061-03-16.42,1.28,2.82e-01,1.012,1.09403,2.15e+06,1.5e-08,1.04e-01,-8.76,0
2011EB74,2061-03-16.45,0.21,9.06e-01,0.000,1.82020,1.75e+06,5.1e-08,1.21e-01,-8.17,0
2011EB74,2061-03-16.51,3.11,1.68e+00,1.255,2.70312,2.05e+05,7.5e-09,1.48e-01,-8.94,0
2011EB74,2062-03-16.40,0.99,6.94e-02,0.000,-2.04427,1.08e+06,1.6e-08,5.81e-02,-8.94,0
2011EB74,2062-03-16.41,0.93,3.18e-01,0.000,-2.20116,6.17e+05,4.3e-08,5.66e-02,-8.52,0
2011EB74,2062-03-16.42,0.32,3.42e-02,0.000,-1.61768,1.09e+06,1.9e-07,6.25e-02,-7.85,0
2011EB74,2062-03-16.50,0.01,1.37e-01,0.000,-0.51065,3.61e+06,1.9e-07,7.62e-02,-7.77,0
2011EB74,2062-03-16.66,0.37,4.69e-01,0.000,1.39396,1.94e+05,1.2e-06,1.11e-01,-6.84,0
2011EB74,2062-03-16.67,0.18,1.58e-02,0.000,1.30513,2.77e+04,1.2e-05,1.09e-01,-5.84,0
2011EB74,2062-03-16.68,0.35,1.64e-02,0.000,1.32745,1.23e+04,2.5e-05,1.09e-01,-5.53,0
2011EB74,2062-03-16.68,0.67,1.44e-01,0.000,1.36673,1.98e+04,1.1e-05,1.10e-01,-5.87,0
2011EB74,2063-03-16.70,0.82,1.88e-01,0.000,-2.02411,2.80e+04,1.8e-06,5.84e-02,-6.89,0
2011EB74,2063-03-16.75,0.36,1.47e-01,0.000,-0.50734,1.05e+06,6.2e-07,7.63e-02,-7.27,0
2011EB74,2063-03-16.79,0.73,1.46e-01,0.000,0.13853,1.17e+06,4.3e-07,8.61e-02,-7.38,0
2011EB74,2063-03-16.87,0.73,1.33e-01,0.000,1.40051,4.08e+06,4.7e-08,1.11e-01,-8.25,0
2011EB74,2063-03-16.96,0.13,1.98e-01,0.000,2.54910,8.05e+05,3.7e-08,1.42e-01,-8.27,0
2011EB74,2064-03-16.06,1.73,4.00e-01,1.835,0.15420,5.31e+06,2.3e-09,8.64e-02,-9.65,0
2011EB74,2064-03-16.17,0.73,2.22e+00,0.000,2.27508,1.53e+05,1.0e-07,1.34e-01,-7.86,0
2011EB74,2064-03-16.17,1.99,1.41e+00,0.700,2.33342,1.27e+04,7.2e-07,1.36e-01,-7.01,0
2011EB74,2064-03-16.34,1.01,2.38e+00,0.005,3.67112,3.79e+04,5.9e-09,1.86e-01,-8.99,0
2011EB74,2065-03-16.14,0.88,2.58e-01,0.000,-2.46920,6.35e+05,2.5e-08,5.42e-02,-8.80,0
2011EB74,2065-03-16.19,2.25,4.17e-01,3.003,-0.39681,1.15e+06,3.5e-10,7.78e-02,-10.50,0
2011EB74,2065-03-16.20,1.09,4.89e-01,0.184,-0.83145,1.65e+06,9.9e-08,7.18e-02,-8.10,0
2011EB74,2065-03-16.22,1.20,2.79e-01,0.724,-0.81924,2.80e+05,2.3e-07,7.20e-02,-7.73,0
2011EB74,2065-03-16.22,1.00,7.12e-01,0.000,-0.41009,6.63e+05,4.2e-07,7.76e-02,-7.45,0
2011EB74,2065-03-16.23,0.76,1.19e-01,0.000,-0.82520,1.46e+05,2.4e-06,7.19e-02,-6.72,0
2011EB74,2065-03-16.25,1.03,2.02e-01,0.173,-0.40177,1.84e+05,8.2e-07,7.77e-02,-7.16,0
2011EB74,2065-03-16.25,1.15,2.83e-01,0.516,-0.52888,2.44e+05,4.4e-07,7.59e-02,-7.43,0
2011EB74,2065-03-16.40,0.07,6.18e-02,0.000,0.80664,1.73e+04,3.3e-05,9.82e-02,-5.47,0
2011EB74,2065-03-16.56,0.91,1.62e+00,0.000,3.45257,1.79e+05,3.7e-09,1.76e-01,-9.22,0
2011EB74,2066-03-16.34,0.48,5.00e-01,0.000,-4.02680,4.46e+04,3.8e-09,4.24e-02,-9.71,0
2011EB74,2066-03-16.41,0.81,7.64e-01,0.000,-2.24375,5.21e+05,5.7e-08,5.63e-02,-8.43,0
2011EB74,2066-03-16.43,0.12,3.24e-01,0.000,-2.31297,2.67e+04,1.9e-06,5.56e-02,-6.91,0
2011EB74,2066-03-16.43,0.74,9.88e-02,0.000,-1.23681,1.29e+06,1.9e-07,6.69e-02,-7.86,0
2011EB74,2066-03-16.44,0.64,1.54e-01,0.000,-1.07751,4.61e+06,7.2e-08,6.88e-02,-8.26,0
2011EB74,2066-03-16.46,1.23,3.14e-01,0.718,-0.89232,4.09e+06,1.6e-08,7.11e-02,-8.91,0
2011EB74,2066-03-16.46,0.67,3.60e-01,0.000,-0.80655,9.97e+04,3.6e-06,7.23e-02,-6.55,0
2011EB74,2066-03-16.47,0.30,4.44e-02,0.000,-0.52039,1.51e+06,4.4e-07,7.61e-02,-7.44,0
2011EB74,2066-03-16.51,0.63,1.13e-01,0.000,-0.78927,1.65e+04,2.7e-05,7.25e-02,-5.67,0
2011EB74,2066-03-16.51,0.18,2.01e-01,0.000,0.14239,2.48e+06,3.1e-07,8.62e-02,-7.56,0
2011EB74,2066-03-16.82,0.12,8.51e-01,0.000,3.31510,2.63e+04,7.8e-08,1.70e-01,-7.91,0
2011EB74,2067-03-16.64,0.03,7.29e-01,0.000,-2.45344,4.67e+05,5.9e-08,5.44e-02,-8.44,0
2011EB74,2067-03-16.66,0.15,3.14e-02,0.000,-1.07547,2.08e+06,2.1e-07,6.88e-02,-7.80,0
2011EB74,2067-03-16.67,1.35,4.83e-01,0.722,-0.89541,9.10e+05,8.4e-08,7.11e-02,-8.19,0
2011EB74,2067-03-16.68,0.56,3.70e-01,0.000,-2.42810,2.98e+04,9.9e-07,5.46e-02,-7.21,0
2011EB74,2067-03-16.68,0.96,2.03e-01,0.000,-1.00170,2.00e+06,7.3e-08,6.97e-02,-8.26,0
2011EB74,2067-03-16.69,0.63,3.84e-01,0.000,-0.92654,4.63e+05,7.3e-07,7.07e-02,-7.26,0
2011EB74,2067-03-16.73,0.55,2.72e-02,0.000,-0.62856,8.13e+05,6.7e-07,7.46e-02,-7.27,0
2011EB74,2068-03-15.87,2.60,8.40e-01,1.907,-2.23712,1.20e+06,9.7e-10,5.63e-02,-10.20,0
2011EB74,2068-03-15.90,0.78,2.92e-01,0.000,-2.35139,6.52e+05,4.0e-08,5.52e-02,-8.61,0
2011EB74,2068-03-16.04,0.63,4.29e-01,0.000,0.75140,4.68e+06,8.1e-08,9.70e-02,-8.11,0
2011EB74,2068-03-16.08,0.30,1.44e-01,0.000,0.20799,2.58e+06,2.8e-07,8.73e-02,-7.60,0
2011EB74,2068-03-16.11,0.97,6.06e-01,0.000,0.27275,1.20e+05,2.5e-06,8.84e-02,-6.66,0
2011EB74,2068-03-16.11,1.07,5.67e-02,1.261,0.27521,1.18e+05,1.4e-07,8.85e-02,-7.90,0
2011EB74,2068-03-16.22,2.16,8.33e-01,1.390,1.69246,1.44e+06,7.3e-09,1.18e-01,-9.09,0
2011EB74,2068-03-16.24,1.91,1.04e+00,0.873,3.10711,1.46e+05,6.1e-09,1.62e-01,-9.05,0
2011EB74,2069-03-16.13,1.44,3.51e-01,1.246,-1.92809,2.96e+06,2.2e-09,5.93e-02,-9.86,0
2011EB74,2069-03-16.14,1.73,4.87e-01,1.509,-2.51980,1.85e+05,6.4e-09,5.38e-02,-9.42,0
2011EB74,2069-03-16.16,0.05,6.65e-01,0.000,-1.22500,1.30e+05,2.1e-06,6.70e-02,-6.83,0
2011EB74,2069-03-16.16,1.08,4.78e-01,0.174,-0.88113,3.30e+05,4.7e-07,7.13e-02,-7.46,0
2011EB74,2069-03-16.17,1.99,5.11e-01,1.932,-1.92874,9.13e+06,1.9e-10,5.93e-02,-10.90,0
2011EB74,2069-03-16.19,0.69,4.40e-02,0.000,-1.22373,8.14e+04,3.3e-06,6.70e-02,-6.63,0
2011EB74,2069-03-16.19,0.56,1.75e-01,0.000,-0.99167,3.47e+05,1.1e-06,6.99e-02,-7.09,0
2011EB74,2069-03-16.20,0.86,3.25e-01,0.000,-0.96338,1.27e+05,1.7e-06,7.02e-02,-6.90,0
2011EB74,2069-03-16.40,0.65,2.55e-01,0.000,1.45737,2.67e+05,6.9e-07,1.12e-01,-7.13,0
2011EB74,2069-03-16.42,0.64,5.34e-01,0.000,1.69977,6.00e+05,1.9e-07,1.18e-01,-7.68,0
2011EB74,2069-03-16.42,0.07,5.81e-01,0.000,1.79287,4.76e+05,2.7e-07,1.21e-01,-7.53,0
2011EB74,2069-03-16.44,1.37,2.80e-01,1.335,1.46161,5.36e+05,2.0e-08,1.12e-01,-8.67,0
2011EB74,2069-03-16.45,1.02,3.45e-01,0.052,1.73717,2.81e+05,1.8e-07,1.19e-01,-7.69,0
2011EB74,2069-03-16.46,2.88,8.56e-01,2.201,1.62701,8.50e+05,2.1e-09,1.16e-01,-9.64,0
2011EB74,2070-03-16.37,1.07,3.03e-01,0.236,-2.22481,1.57e+06,9.7e-09,5.64e-02,-9.23,0
2011EB74,2070-03-16.43,1.69,6.16e-01,1.116,-1.29242,2.23e+06,1.3e-08,6.62e-02,-9.06,0
2011EB74,2070-03-16.43,0.32,&lt;1.e-04,0.000,-0.99602,3.38e+06,1.4e-07,6.98e-02,-8.01,0
2011EB74,2070-03-16.44,0.51,1.83e-01,0.000,-0.94960,9.39e+05,4.5e-07,7.03e-02,-7.49,0
2011EB74,2070-03-16.45,1.09,1.52e-01,0.587,-0.38803,1.30e+06,6.0e-08,7.79e-02,-8.33,0
2011EB74,2071-03-16.62,0.76,3.73e-01,0.000,-2.83735,3.22e+05,2.4e-08,5.10e-02,-8.89,0
2011EB74,2071-03-16.63,0.56,3.69e-01,0.000,-2.50142,4.55e+05,5.4e-08,5.39e-02,-8.51,0
2011EB74,2071-03-16.64,0.52,3.55e-01,0.000,-1.44777,5.91e+05,3.5e-07,6.44e-02,-7.64,0
2011EB74,2071-03-16.65,0.32,1.74e-01,0.000,-1.45286,5.34e+05,4.8e-07,6.43e-02,-7.50,0
2011EB74,2071-03-16.68,0.07,1.57e-02,0.000,-1.37522,1.65e+06,1.9e-07,6.53e-02,-7.91,0
2011EB74,2071-03-16.69,0.13,2.22e-02,0.000,-0.94634,2.01e+06,2.5e-07,7.04e-02,-7.75,0
2011EB74,2071-03-16.69,1.01,2.85e-01,0.038,-0.86193,1.19e+06,1.3e-07,7.15e-02,-8.04,0
2011EB74,2071-03-16.69,0.37,1.16e-01,0.000,-0.85897,1.13e+06,4.5e-07,7.15e-02,-7.49,0
2011EB74,2071-03-16.70,0.25,1.73e-01,0.000,-1.09477,4.35e+05,9.6e-07,6.86e-02,-7.18,0
2011EB74,2071-03-16.86,0.78,3.51e-02,0.000,1.36246,1.67e+06,1.2e-07,1.10e-01,-7.93,0
2011EB74,2071-03-16.86,0.58,1.71e-01,0.000,1.33362,1.28e+06,2.0e-07,1.09e-01,-7.70,0
2011EB74,2071-03-16.87,1.27,5.74e-01,0.476,1.09519,1.99e+06,4.7e-08,1.04e-01,-8.34,0
2011EB74,2071-03-16.97,0.65,5.14e-01,0.000,2.44612,8.80e+05,2.7e-08,1.39e-01,-8.48,0
2011EB74,2073-03-16.13,1.53,2.98e-01,1.761,-1.27799,2.17e+05,2.7e-08,6.63e-02,-8.76,0
2011EB74,2073-03-16.16,0.08,2.43e-01,0.000,-1.56525,2.92e+05,7.7e-07,6.31e-02,-7.32,0
2011EB74,2073-03-16.18,0.94,3.04e-01,0.000,-1.26936,9.63e+04,1.3e-06,6.64e-02,-7.07,0
2011EB74,2073-03-16.18,0.89,1.99e-01,0.000,-1.26582,2.16e+05,6.6e-07,6.65e-02,-7.37,0
2011EB74,2073-03-16.40,1.12,9.82e-02,1.268,1.10919,1.27e+05,9.5e-08,1.04e-01,-8.06,0
2011EB74,2074-03-16.39,0.53,1.56e-01,0.000,-1.28390,2.09e+06,1.4e-07,6.63e-02,-8.06,0
2011EB74,2074-03-16.72,0.91,8.48e-01,0.000,2.42263,1.41e+06,1.3e-08,1.38e-01,-8.84,0
2011EB74,2074-03-16.79,0.42,4.51e-01,0.000,3.21873,8.35e+03,4.1e-07,1.66e-01,-7.27,0
2011EB74,2074-03-16.79,0.40,3.59e-01,0.000,3.22460,5.05e+03,7.1e-07,1.67e-01,-7.02,0
2011EB74,2075-03-16.60,0.68,2.72e-02,0.000,-1.80512,1.67e+06,6.9e-08,6.06e-02,-8.40,0
2011EB74,2075-03-16.64,0.75,4.55e-01,0.000,-1.43234,8.63e+05,1.8e-07,6.46e-02,-7.97,0
2011EB74,2075-03-16.65,0.82,4.39e-02,0.000,-1.25865,3.59e+05,5.7e-07,6.66e-02,-7.45,0
2011EB74,2075-03-16.66,0.41,3.85e-01,0.000,-1.55234,1.24e+06,1.5e-07,6.33e-02,-8.03,0
2011EB74,2075-03-16.67,1.04,4.82e-01,0.090,-1.90312,1.08e+06,3.8e-08,5.96e-02,-8.66,0
2011EB74,2075-03-16.68,1.15,2.57e-01,0.590,-1.47736,4.55e+05,7.9e-08,6.41e-02,-8.32,0
2011EB74,2076-03-15.85,1.95,4.59e-01,2.070,-2.20529,3.26e+06,2.0e-10,5.66e-02,-11.00,0
2011EB74,2076-03-15.88,1.94,4.74e-01,1.980,-1.43523,2.41e+06,1.4e-09,6.45e-02,-10.10,0
2011EB74,2076-03-15.90,0.42,3.21e-01,0.000,-1.47183,1.27e+06,1.7e-07,6.41e-02,-7.98,0
2011EB74,2076-03-16.00,0.32,4.80e-01,0.000,1.01293,7.63e+05,4.9e-07,1.02e-01,-7.37,0
2011EB74,2076-03-16.17,0.64,1.41e-02,0.000,1.84451,1.37e+05,8.2e-07,1.22e-01,-7.08,0
2011EB74,2076-03-16.31,3.34,8.03e-01,2.910,3.06821,1.86e+04,3.9e-10,1.60e-01,-10.30,0
2011EB74,2077-03-16.13,0.89,1.59e-01,0.000,-1.64621,1.17e+05,7.1e-07,6.23e-02,-7.39,0
2011EB74,2077-03-16.16,0.84,2.40e-01,0.000,-1.88397,2.31e+05,2.7e-07,5.98e-02,-7.82,0
2011EB74,2077-03-16.18,1.69,2.34e-01,2.944,-1.63337,6.48e+04,1.7e-09,6.24e-02,-10.00,0
2011EB74,2077-03-16.18,1.65,2.61e-01,2.491,-1.62962,1.27e+05,3.8e-09,6.25e-02,-9.66,0
2011EB74,2077-03-16.30,1.05,1.63e-01,0.299,0.15921,1.91e+06,6.6e-08,8.65e-02,-8.30,0
2011EB74,2077-03-16.36,0.03,1.88e-01,0.000,0.56421,1.12e+06,6.0e-07,9.37e-02,-7.32,0
2011EB74,2077-03-16.40,1.19,1.37e-01,1.398,0.89923,1.13e+06,1.2e-08,1.00e-01,-9.00,0
2011EB74,2077-03-16.54,1.45,6.06e-01,0.737,3.12378,5.38e+05,1.7e-09,1.63e-01,-9.67,0
2011EB74,2078-03-16.37,0.03,2.93e-01,0.000,-1.67323,1.91e+05,9.8e-07,6.19e-02,-7.26,0
2011EB74,2078-03-16.37,0.29,1.97e-02,0.000,-1.66322,2.26e+05,8.5e-07,6.20e-02,-7.32,0
2011EB74,2078-03-16.37,0.37,1.40e-01,0.000,-1.71944,1.85e+06,9.0e-08,6.14e-02,-8.30,0
2011EB74,2078-03-16.42,0.81,8.61e-01,0.000,-0.42791,3.46e+05,9.5e-07,7.73e-02,-7.19,0
2011EB74,2078-03-16.44,1.38,2.64e-01,1.443,-0.43921,1.32e+05,1.7e-07,7.72e-02,-7.94,0
2011EB74,2078-03-16.48,0.45,2.11e-01,0.000,0.14141,2.42e+06,2.8e-07,8.61e-02,-7.68,0
2011EB74,2078-03-16.58,0.35,2.13e-01,0.000,0.85038,1.81e+06,2.8e-07,9.91e-02,-7.64,0
2011EB74,2078-03-16.58,0.43,1.72e-01,0.000,0.87075,2.88e+06,1.7e-07,9.95e-02,-7.86,0
2011EB74,2078-03-16.59,0.86,1.04e-01,0.000,0.81061,3.51e+06,7.6e-08,9.83e-02,-8.21,0
2011EB74,2078-03-16.75,3.18,9.06e-01,2.407,2.73211,3.24e+05,2.9e-10,1.48e-01,-10.50,0
2011EB74,2079-03-16.62,0.24,2.54e-01,0.000,-1.77904,9.20e+05,1.7e-07,6.08e-02,-8.04,0
2011EB74,2079-03-16.62,0.86,3.08e-01,0.000,-2.03031,9.10e+05,4.9e-08,5.83e-02,-8.59,0
2011EB74,2079-03-16.62,1.41,1.66e-01,2.478,-1.62070,2.47e+05,1.7e-09,6.25e-02,-10.00,0
2011EB74,2079-03-16.63,0.92,2.89e-01,0.000,-1.61963,1.38e+05,5.8e-07,6.25e-02,-7.49,0
2011EB74,2079-03-16.63,1.18,2.54e-01,0.722,-1.61861,4.63e+05,5.1e-08,6.25e-02,-8.54,0
2011EB74,2079-03-16.64,0.22,2.00e-01,0.000,-1.23733,1.77e+06,2.0e-07,6.68e-02,-7.93,0
2011EB74,2079-03-16.66,0.95,2.78e-01,0.000,-0.89332,3.68e+06,4.9e-08,7.11e-02,-8.52,0
2011EB74,2079-03-16.66,1.01,1.97e-01,0.042,-0.45321,9.89e+05,1.7e-07,7.70e-02,-7.95,0
2011EB74,2079-03-16.67,1.61,3.77e-01,1.610,-0.82063,1.11e+06,1.3e-08,7.20e-02,-9.08,0
2011EB74,2079-03-16.68,0.11,2.04e-01,0.000,-0.93089,1.68e+06,3.0e-07,7.06e-02,-7.73,0
2011EB74,2079-03-16.68,1.44,3.38e-01,1.311,-0.82259,7.25e+05,3.6e-08,7.20e-02,-8.65,0
2011EB74,2079-03-16.93,4.13,2.03e+00,1.545,1.64218,1.35e+05,6.5e-08,1.17e-01,-8.22,0
2011EB74,2080-03-15.92,0.50,3.78e-01,0.000,-0.41183,4.37e+06,1.3e-07,7.76e-02,-8.09,0
2011EB74,2080-03-15.95,0.10,7.86e-03,0.000,-0.52289,1.06e+06,6.5e-07,7.61e-02,-7.37,0
2011EB74,2081-03-16.12,0.35,6.16e-01,0.000,-1.95957,4.51e+04,1.8e-06,5.90e-02,-7.02,0
2011EB74,2081-03-16.16,1.50,6.59e-01,0.753,-2.17437,1.99e+05,5.7e-08,5.69e-02,-8.54,0
2011EB74,2081-03-16.18,0.96,&lt;1.e-04,0.000,-0.81165,2.82e+06,5.9e-08,7.21e-02,-8.44,0
2011EB74,2081-03-16.37,0.56,5.06e-01,0.000,1.20593,6.87e+05,3.7e-07,1.06e-01,-7.52,0
2011EB74,2081-03-16.39,0.19,4.39e-03,0.000,0.41344,2.23e+05,3.2e-06,9.09e-02,-6.63,0
2011EB74,2081-03-16.40,2.11,3.59e-01,3.097,1.35731,5.27e+05,2.3e-10,1.10e-01,-10.70,0
2011EB74,2081-03-16.43,4.03,3.19e+00,0.948,2.28658,5.15e+05,1.0e-08,1.34e-01,-8.99,0
2011EB74,2081-03-16.46,0.45,6.01e-01,0.000,2.38383,1.80e+05,1.7e-07,1.37e-01,-7.75,0
2011EB74,2082-03-16.70,1.91,2.81e-01,3.233,0.54761,8.31e+05,1.7e-10,9.35e-02,-10.90,0
2011EB74,2083-03-16.62,1.20,2.59e-01,0.778,-0.99084,3.98e+06,1.3e-08,6.99e-02,-9.14,0
2011EB74,2083-03-16.62,0.22,4.61e-01,0.000,-1.93618,6.81e+05,1.5e-07,5.93e-02,-8.12,0
2011EB74,2083-03-16.63,0.91,3.92e-01,0.000,-0.96561,1.52e+06,1.3e-07,7.02e-02,-8.11,0
2011EB74,2083-03-16.63,0.90,2.56e-01,0.000,-2.46254,5.39e+05,2.8e-08,5.43e-02,-8.88,0
2011EB74,2083-03-16.64,1.19,5.37e-01,0.360,-2.32015,8.06e+05,1.6e-08,5.56e-02,-9.11,0
2011EB74,2083-03-16.64,0.18,5.25e-01,0.000,-0.87249,1.16e+06,3.8e-07,7.14e-02,-7.65,0
2011EB74,2083-03-16.65,1.58,4.14e-01,1.410,-2.01831,1.27e+06,3.3e-09,5.84e-02,-9.78,0
2011EB74,2083-03-16.83,1.15,1.34e+00,0.113,1.58486,1.16e+06,6.2e-08,1.15e-01,-8.27,0
2011EB74,2083-03-16.84,0.39,3.46e-01,0.000,1.59661,1.50e+06,1.2e-07,1.16e-01,-7.97,0
2011EB74,2084-03-15.84,0.22,6.38e-01,0.000,-2.43384,1.17e+06,2.6e-08,5.45e-02,-8.92,0
2011EB74,2084-03-15.88,0.82,5.48e-01,0.000,-1.93331,6.63e+05,8.8e-08,5.92e-02,-8.36,0
2011EB74,2085-03-16.08,0.88,&lt;1.e-04,0.000,-1.58446,4.85e+06,2.2e-08,6.29e-02,-8.94,0
2011EB74,2085-03-16.13,1.76,8.81e-01,0.860,-2.24484,1.49e+06,6.0e-09,5.63e-02,-9.55,0
2011EB74,2085-03-16.15,2.13,5.61e-01,2.019,-2.25982,4.60e+04,1.6e-08,5.61e-02,-9.13,0
2011EB74,2085-03-16.44,0.78,1.39e+00,0.000,2.90934,4.43e+05,9.7e-09,1.54e-01,-8.99,0
2011EB74,2085-03-16.50,4.84,1.77e+00,2.166,1.83975,2.08e+05,7.6e-09,1.22e-01,-9.18,0
